Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
Reviews in Fisheries Science & Aquaculture	2330-8249	2330-8257	FISHERIES(SCIE)	5.3	1	3/61	8247
Cleaner and Responsible Consumption	2666-7843	2666-7843	ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI)	5.3	1	35/191	8248
Sustainability Science	1862-4065	1862-4057	ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	5.3	1	83/374	8249
CATALYSIS TODAY	0920-5861	1873-4308	"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE)"	5.3	1	16/75	8250
Current Neuropharmacology	1570-159X	1875-6190	NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	5.3	1	42/352	8251
Journal of Marketing Theory and Practice	1069-6679	1944-7175	BUSINESS(ESCI)	5.3	1	69/316	8252
Advanced Electronic Materials	2199-160X	2199-160X	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	5.3	1	43/187	8253
ENERGY & FUELS	0887-0624	1520-5029	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)"	5.3	1	42/175	8254
Current Osteoporosis Reports	1544-1873	1544-2241	ENDOCRINOLOGY & METABOLISM(SCIE)	5.3	1	33/191	8255
Journal of Semiconductors	1674-4926	1674-4926	"PHYSICS, CONDENSED MATTER(ESCI)"	5.3	2	22/79	8256
YALE LAW JOURNAL	0044-0094	1939-8611	LAW(SSCI)	5.2	1	2/434	8257
CRIMINOLOGY	0011-1384	1745-9125	CRIMINOLOGY & PENOLOGY(SSCI)	5.2	1	3/111	8258
BRITISH JOURNAL OF GENERAL PRACTICE	0960-1643	1478-5242	"MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)"	5.2	1	45685	8259
Comprehensive Physiology	2040-4603	2040-4603	PHYSIOLOGY(SCIE)	5.2	1	7/87	8260
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING	1534-4320	1558-0210	"ENGINEERING, BIOMEDICAL(SCIE);REHABILITATION(SCIE)"	5.2	1	4/173	8261
ACADEMIC MEDICINE	1040-2446	1938-808X	"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE)"	5.2	1	5/86	8262
JOURNAL OF CLINICAL EPIDEMIOLOGY	0895-4356	1878-5921	"HEALTH CARE SCIENCES & SERVICES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	5.2	1	30/419	8263
VETERINARY QUARTERLY	0165-2176	1875-5941	VETERINARY SCIENCES(SCIE)	5.2	1	5/170	8264
JOURNAL OF VOCATIONAL BEHAVIOR	0001-8791	1095-9084	"PSYCHOLOGY, APPLIED(SSCI)"	5.2	1	14/115	8265
CLIMATE POLICY	1469-3062	1752-7457	ENVIRONMENTAL STUDIES(SSCI);PUBLIC ADMINISTRATION(SSCI)	5.2	1	3/90	8266
International Journal of Pharmaceutics	0378-5173	1873-3476	PHARMACOLOGY & PHARMACY(SCIE)	5.2	1	43/352	8267
JOURNAL OF PATHOLOGY	0022-3417	1096-9896	ONCOLOGY(SCIE);PATHOLOGY(SCIE)	5.2	1	7/90	8268
MEDICAL EDUCATION	0308-0110	1365-2923	"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE)"	5.2	1	5/86	8269
CURRENT OPINION IN NEUROBIOLOGY	0959-4388	1873-6882	NEUROSCIENCES(SCIE)	5.2	1	47/314	8270
GEOTECHNIQUE	0016-8505	1751-7656	"ENGINEERING, GEOLOGICAL(SCIE)"	5.2	1	12/65	8271
BRITISH MEDICAL BULLETIN	0007-1420	1471-8391	"MEDICINE, GENERAL & INTERNAL(SCIE)"	5.2	1	33/332	8272
EUROPEAN JOURNAL OF ENDOCRINOLOGY	0804-4643	1479-683X	ENDOCRINOLOGY & METABOLISM(SCIE)	5.2	1	34/191	8273
Journal of Geographical Sciences	1009-637X	1861-9568	"GEOGRAPHY, PHYSICAL(SCIE)"	5.2	1	8/67	8274
LIVER INTERNATIONAL	1478-3223	1478-3231	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	5.2	1	24/147	8275
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS	1549-8328	1558-0806	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5.2	1	72/366	8276
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	0168-1605	1879-3460	FOOD SCIENCE & TECHNOLOGY(SCIE);MICROBIOLOGY(SCIE)	5.2	1	27/163	8277
Advances in Climate Change Research	1674-9278	1674-9278	ENVIRONMENTAL SCIENCES(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	5.2	1	17/111	8278
JOURNAL OF MOLECULAR LIQUIDS	0167-7322	1873-3166	"CHEMISTRY, PHYSICAL(SCIE);PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE)"	5.2	1	6/39	8279
Annual Review of Financial Economics	1941-1367	1941-1375	"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)"	5.2	1	49/617	8280
JOURNAL OF COMPUTING IN CIVIL ENGINEERING	0887-3801	1943-5487	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, CIVIL(SCIE)"	5.2	1	24/183	8281
MACROMOLECULES	0024-9297	1520-5835	POLYMER SCIENCE(SCIE)	5.2	1	15/94	8282
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT	0018-9391	1558-0040	"BUSINESS(SSCI);ENGINEERING, INDUSTRIAL(SCIE);MANAGEMENT(SSCI)"	5.2	1	92/420	8283
Nutrition & Diabetes	2044-4052	2044-4052	ENDOCRINOLOGY & METABOLISM(SCIE);NUTRITION & DIETETICS(SCIE)	5.2	1	15/112	8284
ORGANIZATION STUDIES	0170-8406	1741-3044	MANAGEMENT(SSCI)	5.2	1	92/420	8285
PROTEIN SCIENCE	0961-8368	1469-896X	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	5.2	1	68/319	8286
Science of Remote Sensing	2666-0172	2666-0172	ENVIRONMENTAL SCIENCES(ESCI);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(ESCI);REMOTE SENSING(ESCI)	5.2	1	13/65	8287
Journal of Field Robotics	1556-4959	1556-4967	ROBOTICS(SCIE)	5.2	2	13/48	8288
PROCEEDINGS OF THE COMBUSTION INSTITUTE	1540-7489	1873-2704	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, MECHANICAL(SCIE);THERMODYNAMICS(SCIE)"	5.2	1	27/182	8289
Microbial Biotechnology	1751-7915	1751-7915	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	5.2	1	24/177	8290
BONE MARROW TRANSPLANTATION	0268-3369	1476-5365	HEMATOLOGY(SCIE);IMMUNOLOGY(SCIE);ONCOLOGY(SCIE);TRANSPLANTATION(SCIE)	5.2	1	4/31	8291
Current Atherosclerosis Reports	1523-3804	1534-6242	PERIPHERAL VASCULAR DISEASE(SCIE)	5.2	1	12/98	8292
ENVIRONMENTAL SCIENCE & POLICY	1462-9011	1873-6416	ENVIRONMENTAL SCIENCES(SCIE)	5.2	1	86/374	8293
CLINICAL AND EXPERIMENTAL ALLERGY	0954-7894	1365-2222	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	5.2	1	7/39	8294
Journal of Consumer Behaviour	1472-0817	1479-1838	BUSINESS(SSCI)	5.2	1	71/316	8295
JOURNAL OF PLANNING LITERATURE	0885-4122	1552-6593	REGIONAL & URBAN PLANNING(SSCI);URBAN STUDIES(SSCI)	5.2	1	7/76	8296
ROBOTICS AND AUTONOMOUS SYSTEMS	0921-8890	1872-793X	"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ROBOTICS(SCIE)"	5.2	1	18/89	8297
Arabian Journal of Chemistry	1878-5352	1878-5379	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	5.2	2	66/239	8298
Current Neurology and Neuroscience Reports	1528-4042	1534-6293	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	5.2	1	31/285	8299
Frontiers of Optoelectronics	2095-2759	2095-2767	"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)"	5.2	1	72/366	8300
International Journal of Greenhouse Gas Control	1750-5836	1878-0148	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)"	5.2	2	44/175	8301
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY	1040-8347	1547-6510	"CHEMISTRY, ANALYTICAL(SCIE)"	5.2	1	22/111	8302
Oncology Reviews	1970-5565	1970-5557	ONCOLOGY(ESCI)	5.2	1	64/326	8303
Language Teaching	0261-4448	1475-3049	EDUCATION & EDUCATIONAL RESEARCH(SSCI);LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI)	5.1	1	9/303	8304
POLITICAL COMMUNICATION	1058-4609	1091-7675	COMMUNICATION(SSCI);POLITICAL SCIENCE(SSCI)	5.1	1	9/322	8305
ANNALS OF FAMILY MEDICINE	1544-1709	1544-1717	"MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)"	5.1	1	45716	8306
PUBLIC ADMINISTRATION	0033-3298	1467-9299	POLITICAL SCIENCE(SSCI);PUBLIC ADMINISTRATION(SSCI)	5.1	1	9/322	8307
Journal of Clinical Anesthesia	0952-8180	1873-4529	ANESTHESIOLOGY(SCIE)	5.1	1	7/68	8308
PSYCHOLOGICAL SCIENCE	0956-7976	1467-9280	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	5.1	1	19/221	8309
Bone & Joint Research	2046-3758	2046-3758	CELL & TISSUE ENGINEERING(SCIE);ORTHOPEDICS(SCIE)	5.1	1	6/139	8310
IEEE-ACM Transactions on Audio Speech and Language Processing	2329-9290	2329-9304	"ACOUSTICS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5.1	1	3/41	8311
APPLIED MATHEMATICAL MODELLING	0307-904X	1872-8480	"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);MECHANICS(SCIE)"	5.1	1	8/136	8312
Journal of Tourism and Services	1804-5650	1804-5650	"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)"	5.1	1	20/139	8313
EARTH AND PLANETARY SCIENCE LETTERS	0012-821X	1385-013X	GEOCHEMISTRY & GEOPHYSICS(SCIE)	5.1	1	6/100	8314
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE	1365-8816	1362-3087	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);GEOGRAPHY(SSCI);GEOGRAPHY, PHYSICAL(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI)"	5.1	1	12/173	8315
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES	1071-5819	1095-9300	"COMPUTER SCIENCE, CYBERNETICS(SCIE);ERGONOMICS(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	5.1	1	19/221	8316
GLIA	0894-1491	1098-1136	NEUROSCIENCES(SCIE)	5.1	1	50/314	8317
Current Opinion in Virology	1879-6257	1879-6265	VIROLOGY(SCIE)	5.1	1	5/42	8318
INFORMATION SYSTEMS RESEARCH	1047-7047	1526-5536	INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);MANAGEMENT(SSCI)	5.1	1	21/166	8319
LIFE SCIENCES	0024-3205	1879-0631	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)"	5.1	1	44/352	8320
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	0021-972X	1945-7197	ENDOCRINOLOGY & METABOLISM(SCIE)	5.1	1	36/191	8321
FUNCTIONAL ECOLOGY	0269-8463	1365-2435	ECOLOGY(SCIE)	5.1	1	23/200	8322
Journal of the American College of Radiology	1546-1440	1558-349X	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	5.1	1	24/212	8323
GENETICS	0016-6731	1943-2631	GENETICS & HEREDITY(SCIE)	5.1	1	25/191	8324
MICROCHEMICAL JOURNAL	0026-265X	1095-9149	"CHEMISTRY, ANALYTICAL(SCIE)"	5.1	1	23/111	8325
Gastric Cancer	1436-3291	1436-3305	GASTROENTEROLOGY & HEPATOLOGY(SCIE);ONCOLOGY(SCIE)	5.1	1	25/147	8326
MECHANISMS OF AGEING AND DEVELOPMENT	0047-6374	1872-6216	CELL BIOLOGY(SCIE);GERIATRICS & GERONTOLOGY(SCIE)	5.1	1	11/73	8327
CANCER	0008-543X	1097-0142	ONCOLOGY(SCIE)	5.1	1	68/326	8328
ASTRONOMICAL JOURNAL	0004-6256	1538-3881	ASTRONOMY & ASTROPHYSICS(SCIE)	5.1	1	19/84	8329
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS	1077-260X	1558-4542	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);OPTICS(SCIE);PHYSICS, APPLIED(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)"	5.1	1	24/125	8330
ATMOSPHERIC CHEMISTRY AND PHYSICS	1680-7316	1680-7324	ENVIRONMENTAL SCIENCES(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	5.1	1	18/111	8331
MARINE STRUCTURES	0951-8339	1873-4170	"ENGINEERING, CIVIL(SCIE);ENGINEERING, MARINE(SCIE)"	5.1	1	45741	8332
Stem Cell Reports	2213-6711	2213-6711	CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE)	5.1	1	6/32	8333
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW	0961-5539	1758-6585	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);MECHANICS(SCIE);THERMODYNAMICS(SCIE)"	5.1	1	8/136	8334
MANAGEMENT DECISION	0025-1747	1758-6070	BUSINESS(SSCI);MANAGEMENT(SSCI)	5.1	1	95/420	8335
CANCER IMMUNOLOGY IMMUNOTHERAPY	0340-7004	1432-0851	IMMUNOLOGY(SCIE);ONCOLOGY(SCIE)	5.1	1	68/326	8336
Structural Control & Health Monitoring	1545-2255	1545-2263	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)"	5.1	1	25/183	8337
Journal of Pharmaceutical Investigation	2093-5552	2093-6214	PHARMACOLOGY & PHARMACY(SCIE)	5.1	1	44/352	8338
PRODUCTION AND OPERATIONS MANAGEMENT	1059-1478	1937-5956	"ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)"	5.1	1	18/106	8339
Journal of Materials Chemistry C	2050-7526	2050-7534	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)"	5.1	1	45/187	8340
Frontiers in Nutrition	2296-861X	2296-861X	NUTRITION & DIETETICS(SCIE)	5.1	1	16/112	8341
DIAMOND AND RELATED MATERIALS	0925-9635	1879-0062	"MATERIALS SCIENCE, COATINGS & FILMS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	5.1	1	45/187	8342
Asia Pacific Journal of Marketing and Logistics	1355-5855	1758-4248	BUSINESS(SSCI)	5.1	1	73/316	8343
Environmental Science-Nano	2051-8153	2051-8161	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENVIRONMENTAL SCIENCES(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	5.1	1	90/374	8344
EUROPEAN JOURNAL OF MARKETING	0309-0566	1758-7123	BUSINESS(SSCI)	5.1	1	73/316	8345
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT	0733-9364	1943-7862	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);ENGINEERING, INDUSTRIAL(SCIE)"	5.1	1	25/183	8346
Nanoscale	2040-3364	2040-3372	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	5.1	1	45/187	8347
CURRENT HYPERTENSION REPORTS	1522-6417	1534-3111	PERIPHERAL VASCULAR DISEASE(SCIE)	5.1	1	13/98	8348
REACTIVE & FUNCTIONAL POLYMERS	1381-5148	1873-166X	"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE);POLYMER SCIENCE(SCIE)"	5.1	1	17/94	8349
Food Hydrocolloids for Health	2667-0259	2667-0259	"CHEMISTRY, APPLIED(ESCI);FOOD SCIENCE & TECHNOLOGY(ESCI)"	5.1	1	17/75	8350
AMBIO	0044-7447	1654-7209	"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	5.1	1	90/374	8351
Green Chemistry Letters and Reviews	1751-8253	1751-7192	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)"	5.1	2	67/239	8352
Energy Reports	2352-4847	2352-4847	ENERGY & FUELS(SCIE)	5.1	2	78/182	8353
Energy Sustainability and Society	2192-0567	2192-0567	ENERGY & FUELS(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	5.1	2	43/102	8354
CRITICAL REVIEWS IN MICROBIOLOGY	1040-841X	1549-7828	MICROBIOLOGY(SCIE)	5.1	1	29/163	8355
ENVIRONMENTAL REVIEWS	1208-6053	1181-8700	ENVIRONMENTAL SCIENCES(SCIE)	5.1	1	90/374	8356
Contemporary Security Policy	1352-3260	1743-8764	INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI)	5	1	2/169	8357
SOCIOLOGICAL THEORY	0735-2751	1467-9558	SOCIOLOGY(SSCI)	5	1	5/219	8358
ANNALS OF EMERGENCY MEDICINE	0196-0644	1097-6760	EMERGENCY MEDICINE(SCIE)	5	1	4/56	8359
BIOLOGY OF SPORT	0860-021X	2083-1862	SPORT SCIENCES(SCIE)	5	1	7/133	8360
Journal of Research on Technology in Education	1539-1523	1945-0818	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	5	1	26/756	8361
Progress in Orthodontics	2196-1042	2196-1042	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	5	1	10/162	8362
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	0022-006X	1939-2117	"PSYCHOLOGY, CLINICAL(SSCI)"	5	1	9/185	8363
IEEE Transactions on Cloud Computing	2168-7161	2168-7161	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	5	1	19/147	8364
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY	0942-2056	1433-7347	ORTHOPEDICS(SCIE);SPORT SCIENCES(SCIE);SURGERY(SCIE)	5	1	15/312	8365
JOURNAL OF ECONOMIC SURVEYS	0950-0804	1467-6419	ECONOMICS(SSCI)	5	1	50/617	8366
SOCIAL SCIENCE & MEDICINE	0277-9536	1873-5347	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)"	5	1	3/48	8367
TRANSPLANTATION	0041-1337	1534-6080	IMMUNOLOGY(SCIE);SURGERY(SCIE);TRANSPLANTATION(SCIE)	5	1	15/312	8368
Fire Ecology	1933-9747	1933-9747	ECOLOGY(SCIE);FORESTRY(SCIE)	5	1	4/92	8369
Journal of Urban Management	2226-5856	2589-0360	URBAN STUDIES(ESCI)	5	1	8/76	8370
Quantum Science and Technology	2058-9565	2058-9565	"PHYSICS, MULTIDISCIPLINARY(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)"	5	1	21/114	8371
JOURNAL OF LABOR ECONOMICS	0734-306X	1537-5307	ECONOMICS(SSCI);INDUSTRIAL RELATIONS & LABOR(SSCI)	5	1	3/52	8372
ORGANIC LETTERS	1523-7060	1523-7052	"CHEMISTRY, ORGANIC(SCIE)"	5	1	4/57	8373
Rice	1939-8425	1939-8433	AGRONOMY(SCIE)	5	1	13/129	8374
Natural Resources Research	1520-7439	1573-8981	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	5	1	27/258	8375
GEOCHIMICA ET COSMOCHIMICA ACTA	0016-7037	1872-9533	GEOCHEMISTRY & GEOPHYSICS(SCIE)	5	1	7/100	8376
JOURNAL OF THROMBOSIS AND HAEMOSTASIS	1538-7933	1538-7836	HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	5	1	14/98	8377
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH	0278-3649	1741-3176	ROBOTICS(SCIE)	5	2	15/48	8378
Child and Adolescent Mental Health	1475-357X	1475-3588	"PEDIATRICS(SCIE);PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY, CLINICAL(SSCI)"	5	1	6/191	8379
ACTA PSYCHIATRICA SCANDINAVICA	0001-690X	1600-0447	"PSYCHIATRY(SCIE, SSCI)"	5	1	31/288	8380
CNS Neuroscience & Therapeutics	1755-5930	1755-5949	NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	5	1	47/352	8381
MINERALS ENGINEERING	0892-6875	0892-6875	"ENGINEERING, CHEMICAL(SCIE);MINERALOGY(SCIE);MINING & MINERAL PROCESSING(SCIE)"	5	1	2/31	8382
Multiple Sclerosis Journal	1352-4585	1477-0970	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	5	1	32/285	8383
OPTICS AND LASER TECHNOLOGY	0030-3992	1879-2545	"OPTICS(SCIE);PHYSICS, APPLIED(SCIE)"	5	1	25/125	8384
WATER RESOURCES RESEARCH	0043-1397	1944-7973	ENVIRONMENTAL SCIENCES(SCIE);LIMNOLOGY(SCIE);WATER RESOURCES(SCIE)	5	1	45678	8385
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS	0142-0615	1879-3517	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	5	1	77/366	8386
APPLIED SOIL ECOLOGY	0929-1393	1873-0272	SOIL SCIENCE(SCIE)	5	1	9/48	8387
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS	0098-8847	1096-9845	"ENGINEERING, CIVIL(SCIE);ENGINEERING, GEOLOGICAL(SCIE)"	5	1	28/183	8388
Green Finance	2643-1092	2643-1092	"BUSINESS, FINANCE(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI)"	5	1	28/241	8389
INTERNATIONAL JOURNAL OF THERMAL SCIENCES	1290-0729	1778-4166	"ENGINEERING, MECHANICAL(SCIE);THERMODYNAMICS(SCIE)"	5	1	28/182	8390
Journal of Vacation Marketing	1356-7667	1479-1870	"BUSINESS(SSCI);HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI)"	5	1	21/139	8391
Automotive Innovation	2096-4250	2522-8765	"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);ENGINEERING, MECHANICAL(ESCI);TRANSPORTATION SCIENCE & TECHNOLOGY(ESCI)"	5	1	28/182	8392
Climate Risk Management	2212-0963	2212-0963	ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	5	1	19/111	8393
CANCER GENE THERAPY	0929-1903	1476-5500	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)"	5	1	27/191	8394
Deep Underground Science and Engineering	2097-0668	2770-1328	"ENGINEERING, GEOLOGICAL(ESCI)"	5	1	13/65	8395
IEEE Transactions on Control of Network Systems	2325-5870	2372-2533	"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	5	1	49/258	8396
Journal of Parkinsons Disease	1877-7171	1877-718X	NEUROSCIENCES(SCIE)	5	1	51/314	8397
JOURNAL OF MARKETING RESEARCH	0022-2437	1547-7193	BUSINESS(SSCI)	5	1	76/316	8398
IEEE Intelligent Transportation Systems Magazine	1939-1390	1941-1197	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)"	5	1	77/366	8399
VIRTUAL REALITY	1359-4338	1434-9957	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE)"	5	1	15/128	8400
NEUROPSYCHOLOGY REVIEW	1040-7308	1573-6660	"NEUROSCIENCES(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	5	1	9/185	8401
BIOFACTORS	0951-6433	1872-8081	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	5	1	38/191	8402
Precision Clinical Medicine	2096-5303	2516-1571	"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)"	5	1	45/195	8403
Young Consumers	1758-7212	1747-3616	BUSINESS(ESCI)	5	1	76/316	8404
BioScience Trends	1881-7815	1881-7823	BIOLOGY(SCIE)	5	1	9/107	8405
Smart Energy	2666-9552	2666-9552	ENERGY & FUELS(ESCI)	5	2	81/182	8406
INFLAMMATION	0360-3997	1573-2576	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	5	1	42/183	8407
Legume Science	2639-6181	2639-6181	FOOD SCIENCE & TECHNOLOGY(ESCI)	5	1	44/181	8408
IMMUNOLOGY	0019-2805	1365-2567	IMMUNOLOGY(SCIE)	5	1	42/183	8409
aBIOTECH	2096-6326	2662-1738	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);PLANT SCIENCES(ESCI)	5	1	30/273	8410
RNA	1355-8382	1469-9001	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	5	1	70/319	8411
International Journal of Engineering Business Management	1847-9790	1847-9790	BUSINESS(ESCI)	5	1	76/316	8412
JOURNAL OF POLYMERS AND THE ENVIRONMENT	1566-2543	1572-8919	"ENGINEERING, ENVIRONMENTAL(SCIE);POLYMER SCIENCE(SCIE)"	5	1	18/94	8413
Current Oncology Reports	1523-3790	1534-6269	ONCOLOGY(SCIE)	5	1	71/326	8414
Cellular and Molecular Bioengineering	1865-5025	1865-5033	"BIOPHYSICS(SCIE);CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE);ENGINEERING, BIOMEDICAL(SCIE)"	5	1	10/79	8415
